clinic_id,name,city,state,status_code,photo_url
"52_1","River City Sleep Center","Columbus","GA","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxI3eFf3Lo1bSMV7z124XHGKm_S4TuVMSl4LfhHerB3CXSeE9eWIjalMcROpE5k-YC8YXqJIcXEgR3J1S4MwNFHIIf2iEMkH_vOvkNubrgeNn2kIhgkow32UXhz8p_fP5KoeZuSXQ=w800-h600-k-no-p-k-no"
"105_1","Center for Sleep Medicine","Griffin","GA","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw_LPLao0gDQkXWaJfpJtusyvcQBE_gx8XgJiQePnuklnJWiZMnJzwuc3WZm2h9U4tzHWdiiH8YH6iQNI1c7nYZe3bk8BKUTqijfy6-jv-rWSIC8Z1RsKKqsuu9VtmL7tIWOLM=w800-h600-k-no-p-k-no"
"169_1","Gwinnett Sleep","Lawrenceville","GA","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzeomvacZ25I3m_LyBWEWG9owChN7EvAuH1UPHMwQEmZGErHgsroxzLaHcPIpbDYO227JNj0y4mJEXqiDJYNRVxSYyXwrVPPKYrDDvM8HWeJ1UEZL-qFYJQvO_3LveQ_KGs5OaW=w800-h600-k-no-p-k-no"
"226_1","NWMRMC OPT - Sleep Center","Clarksdale","MS","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7ZXyhbtoxo4qp7QsA6KTvCsSZFN3ZqQXbXxeO9mJrkcv6zfRJGzDB3gg__t1bP_qdh9tqmjRnpVkHY9_mvufG6EoftI9lL8pITqYo5GIEIPU1LQXSwtQOJb_urCUhKi_LREtobA=w800-h600-k-no-p-k-no"
"360_1","Baptist Medical Center Sleep Disorders Centers- South","Jacksonville","FL","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyHzzQ9WT-DtN_E1-rGG4WNqup1vNJqkwaldzgBPpbDBfYk-ClzDHQxojFQskzZbx_6GvewnCRFZwd5TGJnWwcHPoUs6QkbQ2BRGG06qAKXMqlKSkVRa51nzb3W_txfYktzH4GKtA=w800-h600-k-no-p-k-no"
"330_4","Mission Hospital Sleep Center","Marion","NC","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwRJj4Un_TzzJunGunOVpu-VXqu1F3KWAIalXo8P4By2x7tiZeAvTzRPw5-dshI6N532Ft_vHiAJBrdhUalyIUEqM1fVFZzb6KucWAaVps5vv3tpcWk3P4g7W10etehn7blkC-1TA=w800-h600-k-no-pi0-ya340-ro-0-fo100"
"302_1","Jennie Stuart Health Sleep Disorders Center","Hopkinsville","KY","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_s21e3GOr7KaphG8LqBIepqTyoqcrZdlmX_1MphJHYbVTYWROnJACfol8hbVbZUpoqJvpSk3KrBuTY7y_5CK99NE_HhEw-jw-HZegmioB92AZwmOULDYzYqO35JFPNDwU-779yQ=w800-h600-k-no-p-k-no"
"366_1","Pediatric Sleep Disorders Center","Little Rock","AR","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzXpKNiDkPusJoncAqezX-aQaNBqtpwUBO6oZABFW2p5LJynPSkaanCGsiU1SoqryEl2skdmt67DOG_bkRaCRJGxgmXfvsPY1d91rMLSKnBmlPoS_YihMmv5u6Dxb9qYzvzXWRD=w800-h600-k-no-p-k-no"
"412_2","Perry County Memorial Hospital 13th Street Clinic","Leopold","IN","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyeyz89Rgt5npQUn5KmwhWE3lregh4egdx50Gi7D6mhb8tOeOEzN0caIiaWACgwmnS8wo1Jw_fpKeqmWhKEn1V2fppjn5yhB-p4uWqZsEX_JRK_DSL1OqvvRngzEwv2k3sXYS3V=w800-h600-k-no-p-k-no"
"409_1","MUSC Health Sleep Center Haile Street","Camden","SC","403","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyfKMfj37TJKtU7dctI8V0Zhmk1ZuSi9Ah49UQMUxe7MVv1TJJGoE4mAU3rDvPsYrIaH3bPCZFYJr-_iyK-NjL_MTY3S7lNweizU6PxIsYlOFQW8I2Lat469ypyP4ujMvSPTgO0iQ=w800-h600-k-no-p-k-no"
