clinic_id,clinic_name,location_address
52_1,River City Sleep Center,"7290 Northlake 505, Columbus, GA 31909"
56_1,WellStar West Georgia Medical Center Sleep Center,"1514 Vernon Road, LaGrange, GA 30240"
63_1,Neurology and Sleep Solutions,"820 Goodyear Avenue, Gadsden, AL 35903"
105_1,Center for Sleep Medicine,"223 West College Street, Suite B, Griffin, GA 30224"
114_1,"Janice L. Miles, DO - Pulmonary & Sleep Medicine - Sleep Lab","2705 Highway 90, Ocean Springs, MS 39564"
181_2,"Covenant Sleep Clinic of Oxford, LLC","2908 South Lamar Boulevard 200, Oxford, MS 38655"
278_1,Dresden Medical Clinic,"130 E Locust Street, Dresden, TN 38225"
323_1,"Iberia Sleep Center, LLC","715 N. Lewis Street,  Suite B, New Iberia, LA 70563-0000"
391_1,Florida Sleep Clinic,"1501N US Highway 441 1208, The Villages, FL 32159"
476_1,Baptist Health Floyd Sleep Center,"1919 State Street,  Suite 362, New Albany, IN 47150"
479_1,Center For Sleep Disorders,"71 Flannagan Avenue, Lebanon, VA 24266"
579_1,St. Elizabeth Healthcare Sleep Disorders Center Dearborn,"605 Wilson Creek Road, Lawrenceburg, IN 47025"
581_1,"Eagle Physicians & Associates, PA","6 North Pointe Court 202, Greensboro, NC 27508"
586_1,Mercy Sleep Disorders Center,"901 Patients First Drive, Washington, MO 63090"
611_1,Hope Mills Urgent Care & Medical Clinic Sleep Center,"3758 S. Main Street, Hope Mills, NC 28348"
700_1,Millennium Physicians Group - Sleep Center,"400 8th Street N, Naples, FL 34102"
746_1,Center for Pulmonary and Sleep Medicine,"355 Westfield Road Suite 104, Noblesville, IN 46060"
766_1,Memorial Pulmonary & Sleep Disorders Associates,"10837 Katy Fwy 250, Houston, TX 77079"
823_1,McDaniel Sleep Center,"100 Airport Road, Kinston, NC 28501"
858_1,"Medical Sleep Solutions, PLLC","1001 Robbie Mince Way, Desoto, TX 75115"
873_1,ECU Sleep Disorder and Research Center,"521 Moye Boulevard A, Greenville, NC 27834"
875_1,CMG Farmville,"935 S Main Street, Farmville, VA 23901"
894_1,Sleep Life Center,"8485 Bird Road 305, Miami, FL 33155"
1018_1,Southwest Sleep Center,"10604 Southwest Highway Suite 107, Chicago Ridge, IL 60415"
1026_1,Pulmonary & Sleep Medicine,"2850 W 95th Street Suite 203, Evergreen Park, IL 60805"
1060_1,Sturgis Sleep Disorder Center,"916 Myrtle Street, Sturgis, MI 49091"
1067_1,Jackson Sleep Center,"7337 Caritas Circle 280 280, Massillon, OH 44646"
1083_1,Sleep Clinics of America,"140 Sleepy Point Way, Suffolk, VA 23435"
