clinic_id,clinic_name,location_address,phone,website
52_1,River City Sleep Center,"7290 Northlake 505, Columbus, GA 31909",N/A,N/A
56_1,WellStar West Georgia Medical Center Sleep Center,"1514 Vernon Road, LaGrange, GA 30240",N/A,N/A
63_1,Neurology and Sleep Solutions,"820 Goodyear Avenue, Gadsden, AL 35903",256-492-3571,https://neurologyandsleepsolutionsllc.godaddysites.com/
105_1,Center for Sleep Medicine,"223 West College Street, Suite B, Griffin, GA 30224",N/A,N/A
114_1,"Janice L. Miles, DO - Pulmonary & Sleep Medicine - Sleep Lab","2705 Highway 90, Ocean Springs, MS 39564",N/A,N/A
181_2,"Covenant Sleep Clinic of Oxford, LLC","2908 South Lamar Boulevard 200, Oxford, MS 38655",N/A,https://www.oxfordneurologyclinic.com/
278_1,Dresden Medical Clinic,"130 E Locust Street, Dresden, TN 38225",731-364-3196,N/A
323_1,"Iberia Sleep Center, LLC","715 N. Lewis Street,  Suite B, New Iberia, LA 70563-0000",N/A,http://www.sleeplabs.net/
391_1,Florida Sleep Clinic,"1501N US Highway 441 1208, The Villages, FL 32159",N/A,http://www.ocalalung.com/
476_1,Baptist Health Floyd Sleep Center,"1919 State Street,  Suite 362, New Albany, IN 47150",N/A,N/A
479_1,Center For Sleep Disorders,"71 Flannagan Avenue, Lebanon, VA 24266",276-883-8029,https://www.balladhealth.org/locations/sleep-center/lebanon-va
579_1,St. Elizabeth Healthcare Sleep Disorders Center Dearborn,"605 Wilson Creek Road, Lawrenceburg, IN 47025",812-496-8779,https://www.stelizabeth.com/location/details/sleep-medicine-lawrenceburg
581_1,"Eagle Physicians & Associates, PA","6 North Pointe Court 202, Greensboro, NC 27508",N/A,http://www.eaglemds.com/
586_1,Mercy Sleep Disorders Center,"901 Patients First Drive, Washington, MO 63090",N/A,N/A
611_1,Hope Mills Urgent Care & Medical Clinic Sleep Center,"3758 S. Main Street, Hope Mills, NC 28348",N/A,http://www.clinicshere.com/hope-mills-medical-clinic-hope-mills-nc/
700_1,Millennium Physicians Group - Sleep Center,"400 8th Street N, Naples, FL 34102",239-963-1055,https://millenniumphysician.com/location/naples-sleep-lab/
746_1,Center for Pulmonary and Sleep Medicine,"355 Westfield Road Suite 104, Noblesville, IN 46060",N/A,https://splinternetmarketing.com/local-pros/indiana/noblesville/dr-muhammad-habib/
766_1,Memorial Pulmonary & Sleep Disorders Associates,"10837 Katy Fwy 250, Houston, TX 77079",N/A,http://www.memorialpulmonology.com/
823_1,McDaniel Sleep Center,"100 Airport Road, Kinston, NC 28501",N/A,https://www.unchealth.org/care-services/locations/unc-pulmonology-and-sleep-medicine-at-lenoir-kinston
858_1,"Medical Sleep Solutions, PLLC","1001 Robbie Mince Way, Desoto, TX 75115",N/A,N/A
873_1,ECU Sleep Disorder and Research Center,"521 Moye Boulevard A, Greenville, NC 27834",N/A,https://locations.ecuhealth.org/Details/252
875_1,CMG Farmville,"935 S Main Street, Farmville, VA 23901",N/A,N/A
894_1,Sleep Life Center,"8485 Bird Road 305, Miami, FL 33155",N/A,N/A
1018_1,Southwest Sleep Center,"10604 Southwest Highway Suite 107, Chicago Ridge, IL 60415",N/A,N/A
1026_1,Pulmonary & Sleep Medicine,"2850 W 95th Street Suite 203, Evergreen Park, IL 60805",N/A,N/A
1060_1,Sturgis Sleep Disorder Center,"916 Myrtle Street, Sturgis, MI 49091",N/A,http://www.sturgishospital.com/
1067_1,Jackson Sleep Center,"7337 Caritas Circle 280 280, Massillon, OH 44646",N/A,http://www.cantonmercy.org/jackson
1083_1,Sleep Clinics of America,"140 Sleepy Point Way, Suffolk, VA 23435",N/A,N/A
1169_1,Fairview Hospital,"18101 Lorain Avenue, Cleveland, OH 44111",N/A,N/A
1176_1,Defiance Regional Hospital,"730 North Macomb Street, Suite 300, Monroe, MI 48162",N/A,https://www.promedica.org/locations-and-doctors/location/hospital/promedica-monroe-regional-hospital
1251_1,Geauga Sleep Center,"100 Seventh Avenue Suite 225, Chardon, OH 44024",N/A,N/A
1273_1,Premier Sleep Center,"1201 Seven Locks Road 111, Rockville, MD 20854",N/A,N/A
1362_1,Manaf Seid-Arabi MD PC,"15945 19 Mile Road 106, Clinton Twp, MI 48038",586-263-0610,http://www.mydoc.squarespace.com/
1395_1,OMG Sleep Center,"200 Health Park Drive, Owosso, MI 48867",N/A,https://memorialhealthcare.org/location/memorial-healthcare-sleep-facility/
1431_1,Dream Land Sleep Lab,"844 Central Boulevard Suite 420, Brownsville, TX 78520",956-554-3221,N/A
1498_1,Advanced Pulmonary and Sleep Associates,"795 East Marshall Street Suite 304, West Chester, PA 19380",N/A,N/A
1559_1,Persante Sleep Care,"200 East Park Drive Suite 600, Mt. Laurel, NJ 8054",800-753-3779,http://www.persante.com/
1638_1,JFK Neuroscience Sleep Center,"65 James Street, Edison, NJ 8820",N/A,https://www.hackensackmeridianhealth.org/en/services/neurosciences
1654_1,UHS Sleep and Neurodiagnostic Center,"93 Pennsylvania Avenue, Binghamton, NY 13903",607-762-2048,https://www.nyuhs.org/location-search/uhs-sleep-neurodiagnostic-center
1672_1,Cortland ENT & Sleep Lab,"865 Rte 13, Cortland, NY 13045",N/A,https://cayugahealth.org/services/pulmonary-medicine/
1689_1,Sleep Medicine,"530 E 74th Street 16th Floor, New York, NY 10021",N/A,https://weillcornell.org/services/neurology/center-for-sleep-medicine
1705_1,Sleep Disorders Center at Montefiore Medical Center,"111 E210th Street, Bronx, NY 10467",N/A,N/A
1740_1,St. Josephs Center for Sleep Medicine,"4295 Hempsted Tpke, Bethpage, NY 11714",516-579-6000,https://www.catholichealthli.org/st-joseph-hospital?utm_medium=yext&utm_source=gmb
1808_1,Sleep Medicine Associates,"25 Newell Road, Bristol, CT 1085",N/A,https://www.bristolhealth.org/Get-Care/Specialty-Care/Sleep-Medicine
1820_1,Sleep Disorders Center - Saint Francis Hospital & Medical Center,"114 Woodland Street, Hartford, CT 6105",N/A,N/A
1925_1,COMMUNITY CLINICS,"1 Wallace Bashaw Jr Way, Newburyport, MA 1950",N/A,N/A
2089_1,St Rose Sleep Disorders Center,"2847 St. Rose Parkway 140, Henderson, NV 89052",N/A,N/A
2136_1,Nampa Sleep Clinic,"4400 E Flamingo Road Suite 302, Nampa, ID 83687",N/A,N/A
2232_1,Sleep Disorders Center-Dublin,"6680 Regional Street, Suite 116 Sleep Disorders Center, Dublin, CA 94568",N/A,N/A
2235_1,Sleep Disorders Center - Capitola,"815 Bay Avenue, Capitola, CA 95010",N/A,N/A
2244_1,East Bay (Hayward) Sleep Medical Center,"27001 Calaroga Avenue 1, Hayward, CA 94542",N/A,N/A
2255_1,Pinnacle Sleep and Wake Disorders Center,"6201 Summitview Avenue 106, Yakima, WA 98908",509-248-0497,https://pinnaclehealthcarecenter.com/
2261_1,Pinnacle Healthcare Center Ellensburg,"2309 W. Dolarway Road Suite 2, Ellensburg, WA 98926",N/A,N/A
2311_1,Sleep Disorders Clinic,"12303 NE 130th Lane, Suite 500, Kirkland, WA, 98034",N/A,N/A
2313_1,Franciscan Neurology Associates,"1608 South J Street, 5th Floor, Tacoma, WA 98405",N/A,https://www.vmfh.org/find-a-location/franciscan-neurology-associates-at-st-joseph-3329
45_1,NEARMC Sleep Disorders Center,"731 Leighton, Anniston, AL 36202",N/A,https://www.southernsleepdiagnostics.com/
68_1,North Florida Surgeons Northwest Florida ENT LLC,"310 Racetrack Road NW, Fort Walton Beach, FL 32547",850-889-4550,http://www.nwfent.com/
101_1,"Janice L Miles, DO, Pulmonary and Sl;eep Medicine","3418 Main Street, Moss Point, MS 39563",228-474-6111,N/A
452_1,Florida Sleep Disorder Center,"910 Oakfield Drive 101, Brandon, FL 33511",813-681-4413,https://floridachest.com/contact-florida-sleep-disorder-center
505_1,The Sleep Center,"1921 Waldemere Street,  Suite 705, Sarasota, FL 34239",N/A,https://flsleepspecialists.com/
627_1,Lehigh Pulmonary Associates d/b/a Florida Lung & Sleep Associates,"14651 Palm Beach Boulevard 105, Fort Myers, FL 33905",239-369-3333,http://www.floridalung.com/
646_1,UC Health West Chester Hospital Sleep Medicine Center,"7750 Discovery Drive, West Chester, OH 45069",N/A,N/A
651_1,Mercy Health Fairfield Hospital Liberty Falls Sleep Center,"6770 Cincinnati-Dayton Road, Suite 204, Liberty Township, Ohio 45044",N/A,N/A
652_1,Putnam Sleep Disorders Center,"300 Corporate Center Drive 346, Scott Depot, WV 25560",304-691-6800,https://www.marshallhealth.org/locations/marshall-health-teays-valley
685_1,Canton Sleep Disorders Center,"18780 Interstate 20, Canton, TX 75103",N/A,https://www.christushealth.org/locations/canton-emergency-center?utm_source=GBP&utm_medium=organic&utm_campaign=GBP-listing
698_1,Lakeside Sleep Center,"3000 W. Davis 2, Conroe, TX 77304",936-582-1112,N/A
701_1,CHI St. Luke's The Woodlands Sleep Center,"17350 St. Luke's Way MAC II 460, The Woodlands, TX 77384",936-266-3170,https://www.stlukeshealth.org/locations/sleep-center-woodlands-hospital
932_1,Lee's Summit Medical Center Sleep Disorders Center,"600 NW Murray Road, Suite 111, Lee's Summit, MO 64081",N/A,https://www.tmjsleepapnea.com/
1045_1,Baylor Scott & White Sleep Center - Cedar Park,"900 E Whitestone Boulevard, Cedar Park, TX 78613",N/A,https://healthcare.ascension.org/locations/texas/txaus/cedar-park-ascension-seton-cedar-park-hospital/departments/sleep-center?utm_campaign=gmb&utm_medium=organic-search&utm_content=location-listing&utm_source=local
1073_1,Northwestern Sleep Disorders Center,"676 N. St. Clair Suite 7-701, Chicago, IL 60611",N/A,N/A
1281_1,Sleep Disorders Center,"7400 Merton Minter Boulevard Mail Code 111E, San Antonio, TX 78229",N/A,N/A
1416_1,Sleep Management Program,"2121 Old Gatesburg Road, State College, PA 16803",N/A,https://www.mountnittany.org/
1520_1,Penn Sleep Center Phoenixville,"826 Main Street, Suite 100, Phoenixville, PA 19460",N/A,https://www.pennmedicine.org/practices/sleep-medicine-phoenixville?utm_source=location-management&utm_medium=referral&utm_campaign=penn-medicine&utm_term=sleep-medicine-phoenixville&y_source=1_NDE5ODIzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
1612_1,Marshfield Medical Center Weston Sleep Lab,"3400 Ministry Parkway, Weston, WI 54476",N/A,https://www.marshfieldclinic.org/locations/weston-marshfield-medical-center/weston-outpatient-services
1635_1,Center for Sleep Medicine Eau Claire,"Wishart Building, 2nd Floor 1221 Whipple Street, Eau Claire, WI 54703",N/A,http://mayoclinichealthsystem.org/locations/eau-claire?mc_id=&utm_source=yext&utm_medium=l&utm_content=eauclaireluthergeneral&utm_campaign=mchsmarketing&geo=eauclaire&placementsite=nwwi&invsrc=mchsnwwi&cauid=110704&y_source=1_MzkxODExMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
1850_1,Roger Williams Sleep Disorders Center,"1539 Atwood Avenue 302, Johnston, RI 2919",401-351-2747,http://www.rwmc.org/
1943_1,Sonno Sleep Center (West),"2311 N. Mesa Building E, El Paso, TX 79902",N/A,http://www.sonnosleepcenter.com/
1962_1,York Hospital Center for Sleep Health,"15 Hospital Drive, York, ME 3909",N/A,https://www.yorkhospital.com/
2040_1,Utah Valley Sleep Center,"1034 North 500 West, Provo, UT 84604",N/A,N/A
2139_1,Sleep Wake Idaho PLLC,"210 W. Georgia Avenue 120, Nampa, ID 83686",208-884-2922,http://www.everythingsleepidaho.com/
2145_1,Southern California Sleep Disorders Specialists,"13522 Newport Avenue Suite 102 Suite 210, Tustin, CA 92780",714-491-1159,N/A
2269_1,Mendocino Sleep Center,"620 S. Dora Street, Suite 102, Ukiah, CA 95482",707-462-1516,https://www.jamesmarcosteelemd.com/
2316_1,Swedish Sleep Medicine/Cherry Hill,"550 17th Avenue Suite A-20, Seattle, WA 98122",206-386-4744,https://www.swedish.org/locations/cherry-hill-campus/sleep-center?Is=location&y_source=1_OTU3Njg4Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
20852_1,Sleep Center At Pali Momi,"98-1079 Moanalua Road, 430, Aiea, HI 96701",N/A,https://www.sleepcenterhawaii.com/
7_1,Southern Neurology and Sleep,"644 2nd Street  NE 101ST, Alabaster, AL 35007",N/A,https://rymap.org/business/goli-sunil-md-il66o8
12_1,Somnium Sleep Physicians,"2321 John Hawkins Parkway 101, Birmingham, AL 35244",205-440-3450,http://www.somniumsleep.com/
27_1,DW McMillan Telemed Sleep Clinic,"1108 Douglas Avenue, Brewton, AL 36426",N/A,http://www.dwhme.com/
47_1,Flowers Hospital Sleep-Wake Disorders Center,"4370 W. Main Street, Dothan, AL 36305",N/A,https://www.flowershospital.com/?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings
66_1,The Lung Center/Dr. Hakim,"1026 Goodyear Avenue Suite 302, Gadsden, AL 35903",N/A,N/A
85_1,Marshall Neurology Center,"95 Wall Street, Albertville, AL 35951",256-878-3999,N/A
170_1,Sleep Disorders Center at Lincoln Medical Center,"106 Medical Center Boulevard, Fayetteville, TN 37334",N/A,https://hhlincolnhealth.org/
187_1,"The Center For Pulmonary & Sleep Disorders, PLLC","1350 Mackey Branch Drive, Chattanooga, TN 37421",423-553-1155,N/A
204_1,Panola Medical Sleep Center,"303 Medical Center Drive, Batesville, MS 38606",N/A,https://www.panolamed.com/familyandspecialty
210_1,STHS Northlake Pulmonary Associates,"1203 S. Tyler Street,  Suite 200, Covington, LA 70433",985-892-9143,http://www.northlakepulmonary.com/
218_1,Physician's Sleep Diagnostics,"114 Monument Place Suite C Suite C, Vicksburg, MS 39180",601-636-8775,N/A
235_1,J&H Cheema LLC DBA/SCONO DME,"4232 Williams Boulevard 108, Kenner, LA 70065",N/A,http://www.myscono.com/
240_1,Memphis Lung Physician,"363 Southcrest Circle Suite 201, Southaven, MS 38671",N/A,http://www.memphislung.com/
259_1,Horizon Sleep & Epilepsy Center,"340 Atoka McLaughlin Drive Suite C, Atoka, TN 38004",901-840-1083,N/A
301_1,Bluegrass Sleep Disorders Center PLLC,"101 W. 18th Street, Hopkinsville, KY 42240",270-885-4890,N/A
305_1,SleepWorks,"536 Old Howell Road, Greenville, SC 29615",866-527-5970,https://www.medbridgehealthcare.com/
